customer_id,age,gender,education,employment_status,annual_income,months_employed,loan_amount,loan_term_months,interest_rate,credit_score,num_credit_lines,num_late_payments,debt_to_income_ratio,has_mortgage,has_dependents,loan_purpose,default
CUST0001,62,Other,High School,Self-Employed,32140,52,46348,60,6.27,694,7,0,17.305,0,0,Car,0
CUST0002,67,Male,Bachelor,Employed,46869,112,31439,60,10.18,754,3,1,8.049,1,1,Car,0
CUST0003,43,Male,High School,Employed,27354,67,4847,48,15.44,711,7,0,2.126,1,1,Business,0
CUST0004,36,Other,Master,Unemployed,75975,59,8619,48,10.17,577,6,0,1.361,1,0,Business,1
CUST0005,32,Female,Bachelor,Employed,46819,118,43943,60,8.98,658,6,3,11.263,0,0,Home,0
CUST0006,58,Female,Master,Employed,86414,335,34717,48,22.55,605,3,0,4.821,1,1,Business,0
CUST0007,45,Other,High School,Unemployed,28513,24,9185,24,17.3,637,11,0,3.866,0,1,Personal,1
CUST0008,57,Other,Master,Employed,81386,369,9507,60,19.82,650,5,0,1.402,1,0,Medical,0
CUST0009,38,Female,PhD,Self-Employed,96970,160,21558,60,16.92,637,3,0,2.668,0,0,Business,0
CUST0010,45,Other,Master,Part-Time,82714,157,17692,12,9.41,603,12,0,2.567,0,0,Car,0
CUST0011,52,Female,PhD,Employed,73002,108,37343,24,19.04,616,7,5,6.138,1,1,Business,1
CUST0012,43,Other,High School,Employed,35933,150,16432,12,5.95,591,1,3,5.488,0,0,Education,0
CUST0013,53,Female,High School,Employed,41565,242,17925,48,20.97,588,4,0,5.175,1,1,Personal,0
CUST0014,65,Female,Bachelor,Self-Employed,62820,31,28386,36,20.83,690,9,0,5.422,1,0,Education,0
CUST0015,37,Female,Master,Employed,96388,25,5315,60,21.55,456,2,4,0.662,0,0,Personal,0
CUST0016,25,Female,High School,Employed,33869,24,19380,48,10.32,586,9,1,6.866,1,0,Car,0
CUST0017,35,Other,PhD,Employed,65938,14,5286,60,14.23,596,9,0,0.962,0,0,Home,1
CUST0018,47,Other,High School,Part-Time,38591,126,39940,60,5.31,767,10,1,12.419,1,0,Medical,0
CUST0019,42,Female,High School,Employed,28807,80,6754,12,13.85,565,10,5,2.813,0,0,Business,1
CUST0020,26,Female,Master,Employed,96045,10,30716,60,18.85,414,11,1,3.838,1,0,Car,0
CUST0021,29,Male,Master,Self-Employed,91335,26,49029,36,8.65,707,11,3,6.442,1,1,Home,0
CUST0022,24,Other,High School,Self-Employed,20760,20,19167,24,19.62,539,1,0,11.079,0,0,Education,1
CUST0023,57,Other,High School,Employed,25868,407,4614,36,8.79,839,4,1,2.14,1,1,Business,0
CUST0024,32,Other,PhD,Part-Time,162336,112,29020,12,8.16,795,7,2,2.145,0,1,Car,0
CUST0025,28,Female,Bachelor,Employed,48488,58,24915,36,21.24,652,4,0,6.166,0,1,Education,0
CUST0026,39,Other,Bachelor,Employed,29502,173,37141,36,23.66,838,3,1,15.107,1,0,Home,1
CUST0027,49,Female,Bachelor,Part-Time,19517,59,27244,60,8.38,752,1,2,16.751,0,0,Education,1
CUST0028,43,Other,Bachelor,Self-Employed,67117,31,49169,36,14.85,595,12,0,8.791,0,0,Personal,0
CUST0029,46,Female,Bachelor,Part-Time,48822,280,2026,36,10.35,583,7,2,0.498,1,1,Personal,0
CUST0030,32,Male,Bachelor,Employed,42511,84,43480,60,11.34,709,11,0,12.274,0,0,Home,0
CUST0031,37,Other,PhD,Self-Employed,113514,161,39727,24,19.15,530,7,0,4.2,0,0,Medical,1
CUST0032,28,Other,Master,Employed,83190,66,32444,12,15.87,684,3,2,4.68,1,1,Business,0
CUST0033,54,Female,Bachelor,Part-Time,49950,243,31495,36,19.84,659,11,0,7.566,1,0,Education,0
CUST0034,39,Male,Bachelor,Part-Time,63564,20,11068,24,9.22,585,2,0,2.089,1,1,Personal,0
CUST0035,35,Other,Master,Employed,88145,5,39728,48,14.23,400,6,0,5.409,1,1,Business,0
CUST0036,36,Other,Bachelor,Employed,32111,124,3902,48,11.36,596,3,3,1.458,0,0,Personal,0
CUST0037,58,Female,Bachelor,Employed,31762,93,5295,36,12.23,727,4,0,2.001,1,1,Education,0
CUST0038,23,Male,Master,Employed,90474,5,16694,12,20.44,543,4,0,2.214,0,0,Car,0
CUST0039,52,Other,Bachelor,Employed,62495,188,12996,60,16.89,791,12,2,2.495,0,1,Home,0
CUST0040,65,Other,Master,Employed,84847,366,14997,12,16.58,676,12,2,2.121,0,0,Education,0
CUST0041,49,Male,Bachelor,Employed,56611,215,34125,12,13.34,627,6,1,7.234,1,0,Personal,0
CUST0042,39,Male,Bachelor,Part-Time,20572,198,33686,48,13.39,630,4,3,19.65,0,1,Personal,1
CUST0043,51,Male,Bachelor,Self-Employed,49253,166,13917,48,8.83,739,5,0,3.391,1,0,Business,0
CUST0044,53,Other,Bachelor,Employed,69855,243,44329,48,13.64,722,7,1,7.615,1,1,Personal,0
CUST0045,55,Other,Bachelor,Unemployed,45168,232,19754,36,9.63,611,2,2,5.248,1,0,Medical,1
CUST0046,34,Male,High School,Employed,28279,134,41111,36,24.5,681,6,0,17.445,0,0,Education,0
CUST0047,25,Female,Bachelor,Self-Employed,78484,31,8723,12,16.21,783,8,0,1.334,1,0,Home,0
CUST0048,26,Other,Bachelor,Employed,52018,40,46987,12,7.6,731,2,5,10.839,0,1,Business,0
CUST0049,61,Male,High School,Employed,23763,301,30103,36,16.1,673,1,1,15.202,0,0,Medical,0
CUST0050,37,Male,High School,Employed,35278,0,28772,48,18.56,614,5,2,9.787,1,0,Medical,0
CUST0051,38,Male,Master,Self-Employed,56713,108,9521,60,9.09,442,3,4,2.015,0,0,Home,1
CUST0052,58,Female,PhD,Employed,74341,239,47133,36,18.77,750,8,0,7.608,0,1,Medical,0
CUST0053,60,Other,Bachelor,Employed,84784,294,40477,12,24.89,594,11,3,5.729,0,0,Personal,0
CUST0054,33,Female,PhD,Employed,60134,125,7979,48,11.6,565,3,0,1.592,1,1,Medical,1
CUST0055,57,Male,High School,Employed,31940,395,28488,60,21.33,689,1,1,10.703,1,1,Home,0
CUST0056,53,Other,Bachelor,Self-Employed,55659,104,19501,60,7.17,591,8,0,4.204,0,0,Education,1
CUST0057,22,Female,Bachelor,Employed,90000,0,9698,24,14.67,629,12,0,1.293,1,1,Personal,0
CUST0058,46,Female,High School,Employed,42119,69,6575,36,20.26,695,9,0,1.873,0,1,Medical,0
CUST0059,59,Male,Bachelor,Self-Employed,68449,247,24618,36,15.76,558,9,0,4.316,1,0,Medical,0
CUST0060,48,Other,High School,Self-Employed,29456,195,27302,24,14.6,754,10,0,11.122,0,1,Home,0
CUST0061,51,Other,High School,Employed,46589,38,32768,36,11.41,448,12,0,8.44,0,1,Medical,0
CUST0062,67,Other,Master,Employed,94245,277,4352,60,5.9,486,4,2,0.554,1,0,Medical,0
CUST0063,28,Male,Bachelor,Self-Employed,61655,7,21226,36,12.15,622,3,0,4.131,1,0,Car,1
CUST0064,61,Other,Bachelor,Employed,71966,298,11379,24,13.91,638,1,3,1.897,1,1,Medical,1
CUST0065,32,Male,High School,Unemployed,38725,54,47240,36,13.82,633,5,0,14.639,1,1,Home,0
CUST0066,40,Other,PhD,Employed,127590,212,45137,48,10.1,500,12,5,4.245,1,1,Car,1
CUST0067,44,Female,High School,Employed,31947,70,43172,12,22.93,807,11,0,16.216,1,0,Business,0
CUST0068,40,Other,Bachelor,Employed,51736,51,10661,60,22.38,561,5,3,2.473,1,1,Education,1
CUST0069,43,Other,Master,Employed,112568,57,46323,48,24.23,716,9,0,4.938,1,0,Education,0
CUST0070,65,Female,Bachelor,Employed,67744,326,26344,12,18.27,503,9,0,4.667,0,0,Medical,1
CUST0071,66,Other,Bachelor,Employed,80387,155,34284,12,6.48,826,9,0,5.118,1,1,Medical,0
CUST0072,59,Female,Master,Employed,57876,212,44920,12,21.51,463,5,0,9.314,1,0,Personal,0
CUST0073,37,Male,Master,Employed,71891,165,25506,12,12.62,524,4,5,4.257,1,0,Medical,1
CUST0074,23,Other,High School,Employed,23614,2,39000,24,5.9,646,4,2,19.819,0,1,Car,0
CUST0075,22,Male,Bachelor,Unemployed,76020,0,9204,12,7.19,630,6,2,1.453,0,1,Home,1
CUST0076,48,Male,Bachelor,Self-Employed,65514,243,31378,36,14.97,731,10,0,5.747,1,1,Medical,0
CUST0077,25,Other,PhD,Part-Time,98240,28,6816,12,11.07,661,3,0,0.833,1,1,Personal,0
CUST0078,60,Other,Bachelor,Part-Time,54957,58,44907,60,19.21,663,4,0,9.806,1,1,Personal,0
CUST0079,28,Male,Bachelor,Employed,56896,60,6399,12,21.47,850,2,0,1.35,1,0,Business,0
CUST0080,43,Other,Bachelor,Employed,48374,223,45603,48,22.21,592,10,0,11.313,0,0,Car,0
CUST0081,52,Male,High School,Employed,36319,142,39624,24,20.97,560,9,5,13.092,0,1,Home,1
CUST0082,43,Female,Bachelor,Employed,82321,36,39114,48,5.92,624,2,2,5.702,0,1,Personal,0
CUST0083,43,Other,High School,Employed,23414,152,7567,12,7.67,850,10,0,3.878,0,1,Personal,0
CUST0084,48,Other,Bachelor,Self-Employed,67106,58,24621,48,6.76,581,9,1,4.403,0,0,Personal,0
CUST0085,25,Other,High School,Employed,33048,16,20969,36,6.95,692,8,2,7.614,0,0,Personal,0
CUST0086,64,Male,Master,Employed,58869,379,4772,48,4.88,815,10,0,0.973,1,1,Education,0
CUST0087,47,Female,High School,Employed,35517,185,7775,48,21.73,508,4,0,2.627,1,0,Personal,0
CUST0088,32,Female,High School,Self-Employed,26339,67,35420,24,22.98,545,11,2,16.137,0,0,Car,1
CUST0089,34,Female,High School,Employed,32182,126,32405,60,20.0,600,8,1,12.083,1,1,Car,0
CUST0090,41,Other,Master,Employed,91214,90,35248,12,10.83,607,5,0,4.637,0,1,Personal,0
CUST0091,57,Female,PhD,Self-Employed,168228,292,44718,24,11.06,695,8,1,3.19,0,1,Home,0
CUST0092,63,Other,High School,Employed,31629,224,30797,60,15.16,692,5,0,11.684,1,0,Medical,0
CUST0093,43,Other,High School,Employed,29154,185,45028,60,22.31,566,6,0,18.534,0,1,Education,1
CUST0094,60,Female,Master,Employed,62613,286,26686,36,21.09,549,12,5,5.114,0,1,Business,1
CUST0095,23,Female,Bachelor,Employed,65857,7,14583,24,24.9,850,3,0,2.657,0,0,Medical,0
CUST0096,60,Female,Bachelor,Employed,43900,354,42942,24,19.21,731,12,0,11.738,1,1,Medical,0
CUST0097,36,Male,Bachelor,Employed,63874,49,26106,60,24.58,535,8,2,4.905,1,1,Car,1
CUST0098,38,Male,High School,Employed,27857,95,38342,12,19.01,588,2,2,16.517,1,1,Business,0
CUST0099,49,Male,High School,Part-Time,38765,13,29190,12,12.59,450,6,0,9.036,0,1,Car,1
CUST0100,67,Female,Bachelor,Part-Time,64016,70,4510,36,23.21,454,12,0,0.845,0,0,Home,1
CUST0101,35,Female,Master,Employed,78420,28,20881,24,10.64,518,1,0,3.195,1,0,Home,0
CUST0102,54,Other,Bachelor,Self-Employed,56492,149,30130,12,17.04,646,11,1,6.4,1,0,Business,0
CUST0103,54,Male,Master,Employed,123333,22,43659,48,24.51,665,5,2,4.248,1,0,Education,0
CUST0104,59,Male,Master,Employed,53325,22,25088,60,11.41,522,11,0,5.646,1,0,Car,0
CUST0105,67,Other,Master,Employed,80345,102,4746,36,23.54,668,9,0,0.709,1,1,Home,0
CUST0106,25,Female,Master,Employed,99960,7,26118,48,22.65,631,7,0,3.135,0,1,Medical,0
CUST0107,45,Female,PhD,Employed,123998,40,30220,60,24.8,487,3,1,2.925,1,0,Home,0
CUST0108,60,Other,Master,Employed,67137,227,25038,48,5.36,703,7,0,4.475,0,0,Medical,0
CUST0109,47,Other,Bachelor,Part-Time,42624,73,41817,48,5.21,416,2,0,11.773,1,1,Personal,1
CUST0110,50,Other,PhD,Employed,113207,39,39612,24,15.3,523,4,5,4.199,0,0,Personal,1
CUST0111,46,Male,Master,Employed,86997,109,42099,36,18.66,485,8,0,5.807,0,0,Personal,1
CUST0112,27,Male,Master,Unemployed,68773,20,45767,36,18.97,561,5,3,7.986,0,1,Business,1
CUST0113,29,Female,PhD,Part-Time,112672,46,38308,60,12.03,756,9,0,4.08,0,0,Education,0
CUST0114,55,Female,Bachelor,Employed,57941,294,6833,24,24.34,571,11,1,1.415,0,0,Car,0
CUST0115,54,Male,Master,Employed,90398,84,12614,36,23.57,680,4,0,1.674,1,0,Education,0
CUST0116,30,Male,Bachelor,Self-Employed,44234,11,34936,24,16.57,586,10,2,9.478,1,0,Home,0
CUST0117,24,Male,PhD,Self-Employed,108259,18,29301,60,17.54,708,8,3,3.248,1,1,Personal,0
CUST0118,41,Male,Bachelor,Self-Employed,37248,40,30809,48,14.38,678,6,3,9.926,1,1,Personal,1
CUST0119,45,Female,Bachelor,Employed,58384,230,18247,24,6.47,691,5,4,3.75,1,0,Car,1
CUST0120,34,Female,Master,Employed,68753,131,32593,48,22.43,596,7,1,5.689,0,0,Business,0
CUST0121,25,Female,High School,Employed,40615,30,20726,60,4.67,541,2,0,6.124,1,1,Personal,1
CUST0122,57,Female,High School,Employed,32727,37,27319,60,13.69,462,10,1,10.017,0,0,Home,0
CUST0123,45,Other,Master,Employed,113882,101,41483,60,12.69,577,1,0,4.371,0,1,Personal,0
CUST0124,54,Male,High School,Unemployed,34916,163,12649,48,24.71,634,6,1,4.347,1,1,Personal,0
CUST0125,45,Female,Bachelor,Employed,47236,13,41119,48,9.92,682,11,2,10.446,0,0,Business,0
CUST0126,61,Other,Master,Employed,107343,420,46612,24,5.14,685,1,0,5.211,1,0,Personal,0
CUST0127,35,Male,Bachelor,Self-Employed,83850,15,48253,24,15.08,542,9,0,6.906,1,1,Education,0
CUST0128,56,Male,Bachelor,Self-Employed,62487,369,46613,36,16.95,666,9,0,8.952,1,1,Medical,0
CUST0129,66,Male,Master,Employed,54220,407,49294,36,10.37,829,10,1,10.91,1,1,Education,0
CUST0130,67,Other,High School,Unemployed,38377,335,18806,48,8.87,677,9,1,5.88,0,0,Business,0
CUST0131,59,Male,High School,Employed,36735,119,5440,12,12.93,599,12,0,1.777,0,0,Business,0
CUST0132,52,Male,Bachelor,Employed,76720,147,23048,36,17.68,676,10,0,3.605,0,0,Personal,0
CUST0133,24,Other,PhD,Employed,45435,9,4455,12,10.59,646,10,0,1.177,1,1,Personal,0
CUST0134,30,Other,Master,Employed,75570,24,9382,36,7.81,565,3,0,1.49,1,1,Business,1
CUST0135,34,Male,High School,Part-Time,43957,131,23491,12,12.68,527,2,0,6.413,0,1,Education,1
CUST0136,50,Female,Master,Unemployed,82865,154,40172,60,4.73,552,1,1,5.817,1,1,Car,1
CUST0137,65,Female,Bachelor,Part-Time,54399,60,43858,36,12.0,557,4,0,9.675,0,1,Car,1
CUST0138,48,Male,Master,Part-Time,54033,275,45522,24,20.04,582,2,1,10.11,1,0,Business,0
CUST0139,25,Female,Master,Part-Time,89529,10,23503,60,13.51,758,11,0,3.15,1,0,Business,0
CUST0140,54,Female,Bachelor,Employed,43133,286,32302,36,19.25,493,12,0,8.987,0,0,Personal,1
CUST0141,66,Female,High School,Unemployed,34773,241,4079,36,12.84,624,3,2,1.408,1,1,Personal,1
CUST0142,46,Female,High School,Unemployed,19267,276,10715,36,6.92,739,3,2,6.674,0,0,Home,1
CUST0143,51,Female,Bachelor,Employed,31541,126,32187,36,7.66,602,4,4,12.246,0,0,Medical,0
CUST0144,23,Male,High School,Employed,19593,9,4200,48,16.69,630,12,0,2.572,1,0,Business,0
CUST0145,25,Other,High School,Unemployed,33770,36,22899,60,16.7,850,11,2,8.137,0,1,Car,0
CUST0146,39,Male,High School,Unemployed,30899,188,13477,48,15.84,727,11,1,5.234,1,1,Personal,0
CUST0147,41,Male,Bachelor,Self-Employed,30177,76,48371,24,20.94,672,1,1,19.235,1,0,Personal,0
CUST0148,27,Male,PhD,Part-Time,134611,5,37103,24,5.55,542,1,3,3.308,0,0,Personal,1
CUST0149,43,Other,Bachelor,Part-Time,60237,189,9688,48,23.15,703,12,1,1.93,0,1,Car,0
CUST0150,51,Female,Bachelor,Employed,68651,133,25569,60,22.51,463,12,0,4.469,1,0,Education,1
CUST0151,48,Other,High School,Part-Time,31920,283,40275,60,19.19,621,5,0,15.141,1,0,Personal,0
CUST0152,63,Other,PhD,Employed,81990,390,34022,48,13.9,629,3,2,4.979,1,0,Business,0
CUST0153,25,Other,Bachelor,Part-Time,81899,3,2418,48,7.3,723,11,0,0.354,0,0,Car,0
CUST0154,62,Other,Bachelor,Self-Employed,59397,247,45206,48,4.82,539,1,1,9.133,1,1,Home,0
CUST0155,66,Male,Bachelor,Part-Time,63819,49,36366,24,9.42,614,10,1,6.838,1,1,Personal,0
CUST0156,58,Other,High School,Self-Employed,37844,153,46829,12,17.84,746,2,0,14.849,1,1,Home,0
CUST0157,22,Male,Master,Employed,98631,0,39083,12,22.75,521,1,0,4.755,1,1,Home,0
CUST0158,56,Male,Bachelor,Employed,47221,161,3026,24,16.48,642,7,4,0.769,1,0,Business,0
CUST0159,58,Female,Master,Employed,96650,386,11171,12,14.72,585,6,0,1.387,1,0,Home,0
CUST0160,60,Other,Bachelor,Self-Employed,45723,15,43557,36,20.48,571,9,4,11.432,1,0,Medical,1
CUST0161,64,Female,Bachelor,Self-Employed,54931,37,7376,36,7.65,712,12,2,1.611,0,1,Education,0
CUST0162,41,Male,Bachelor,Self-Employed,58918,26,10683,12,8.32,519,7,0,2.176,0,1,Business,1
CUST0163,60,Male,Bachelor,Employed,48952,198,7550,60,22.97,694,4,1,1.851,0,1,Car,0
CUST0164,31,Male,High School,Employed,38280,53,21644,48,20.47,485,12,1,6.785,0,1,Home,1
CUST0165,41,Other,High School,Employed,36257,220,23596,48,11.33,557,11,5,7.81,0,1,Education,1
CUST0166,42,Other,High School,Employed,30257,81,21100,48,24.24,657,5,2,8.368,1,1,Home,0
